Database of Agriculture from Mediterranean-Basin and Europe (DAME);;;;;;;;;;;;
Decision-Making Table;;;;;;;;;;;;
Country;Administrative Level;Source Crop;Decision;Std Crop;Crop Subgroup;Crop Group;Area Type;Unit transformation;Source Units;Yield Data Availability;Production Data Availability;Source Data
Spain;3;TOTAL FLORES;Keep and rename;flowers total;flowers;ornamental plants and flowers;Sown Area;Original;hectares;yes;yes;116
Spain;3;CLAVELES;Keep and rename;carnation;flowers;ornamental plants and flowers;Sown Area;Original;hectares;yes;yes;116
Spain;3;ROSAS;Keep and rename;rose;flowers;ornamental plants and flowers;Sown Area;Original;hectares;yes;yes;116
Spain;3;OTRAS FLORES;Drop;other flowers;flowers;ornamental plants and flowers;Sown Area;Original;hectares;yes;yes;116
Spain;3;PLANTAS ORNAMENTALES;Keep and rename;ornamental plants;ornamental plants;ornamental plants and flowers;Sown Area;Original;hectares;yes;yes;116
Spain;3;NARANJO;Drop;;citrus fruits;fruit trees;Sown Area;Original;hectares;yes;yes;116
Spain;3;NARANJO AMARGO;Keep and rename;sour orange;citrus fruits;fruit trees;Sown Area;Original;hectares;yes;yes;116
Spain;3;MANDARINO;Drop;;citrus fruits;fruit trees;Sown Area;Original;hectares;yes;yes;116
Spain;3;LIMONERO;Drop;;citrus fruits;fruit trees;Sown Area;Original;hectares;yes;yes;116
Spain;3;POMELO;Keep and rename;grapefruit;citrus fruits;fruit trees;Sown Area;Original;hectares;yes;yes;116
Spain;3;OTROS CÍTRICOS;Keep and rename;other citrus fruits;citrus fruits;fruit trees;Sown Area;Original;hectares;yes;yes;116
Spain;3;MANZANO;Drop;;pome fruits;fruit trees;Sown Area;Original;hectares;yes;yes;116
Spain;3;PERAL;Drop;;pome fruits;fruit trees;Sown Area;Original;hectares;yes;yes;116
Spain;3;CEREZO Y GUINDO;Keep and rename;cherries;stone fruits;fruit trees;Sown Area;Original;hectares;yes;yes;116
Spain;3;MELOCOTONERO;Keep and rename;peach;stone fruits;fruit trees;Sown Area;Original;hectares;yes;yes;116
Spain;3;NECTARINO;Keep and rename;nectarine;stone fruits;fruit trees;Sown Area;Original;hectares;yes;yes;116
Spain;3;MELOCOTONERO Y NECTARINO;Drop;peach and nectarine;stone fruits;fruit trees;Sown Area;Original;hectares;yes;yes;116
Spain;3;CIRUELO;Keep and rename;plum;stone fruits;fruit trees;Sown Area;Original;hectares;yes;yes;116
Spain;3;HIGUERA;Keep and rename;fig;other fruits;fruit trees;Sown Area;Original;hectares;yes;yes;116
Spain;3;ALBARICOQUERO;Keep and rename;apricot;stone fruits;fruit trees;Sown Area;Original;hectares;yes;yes;116
Spain;3;CHIRIMOYO;Keep and rename;cherimoya;other subtropical fruits;fruit trees;Sown Area;Original;hectares;yes;yes;116
Spain;3;GRANADO;Keep and rename;pomegranate;pome fruits;fruit trees;Sown Area;Original;hectares;yes;yes;116
Spain;3;AGUACATE;Keep and rename;avocado;subtropical berries;fruit trees;Sown Area;Original;hectares;yes;yes;116
Spain;3;PLATANERA;Keep and rename;banana;subtropical berries;fruit trees;Sown Area;Original;hectares;yes;yes;116
Spain;3;KIWI;Keep and rename;kiwi;subtropical berries;fruit trees;Sown Area;Original;hectares;yes;yes;116
Spain;3;PALMERA DATILERA;Keep and rename;date palm;other subtropical fruits;fruit trees;Sown Area;Original;hectares;yes;yes;116
Spain;3;FRAMBUESO;Keep and rename;raspberries;berries;fruit trees;Sown Area;Original;hectares;yes;yes;116
Spain;3;ALMENDRO;Keep and rename;almond;stone fruits;fruit trees;Sown Area;Original;hectares;yes;yes;116
Spain;3;AVELLANO;Keep and rename;hazelnut;nuts fruits;fruit trees;Sown Area;Original;hectares;yes;yes;116
Spain;3;NOGAL;Keep and rename;walnut;nuts fruits;fruit trees;Sown Area;Original;hectares;yes;yes;116
Spain;3;PISTACHO;Keep and rename;pistachio;nuts fruits;fruit trees;Sown Area;Original;hectares;yes;yes;116
Spain;3;VIÑEDO TOTAL;Drop;vineyards;vineyards;fruit trees;Sown Area;Original;hectares;yes;yes;116
Spain;3;VIÑEDO DEDICADO A UVA DE MESA;Keep and rename;vineyards for table grapes;vineyards;fruit trees;Sown Area;Original;hectares;yes;yes;116
Spain;3;VIÑEDO DEDICADO A UVA DE VINIFICACIÓN;Keep and rename;vineyards for wine;vineyards;fruit trees;Sown Area;Original;hectares;yes;yes;116
Spain;3;VIÑEDO DEDICADO A UVA DE PASIFICACIÓN;Keep and rename;vineyards for raisin;vineyards;fruit trees;Sown Area;Original;hectares;yes;yes;116
Spain;3;VIVEROS DE VIÑEDO;Drop;;;fruit trees;Sown Area;Original;hectares;yes;yes;116
Spain;3;OLIVAR DE ACEITUNA TOTAL DE MESA;Keep and rename;olive groves for table olives;olive groves;fruit trees;Sown Area;Original;hectares;yes;yes;116
Spain;3;OLIVAR DE ACEITUNA TOTAL DE ALMAZARA;Keep and rename;olive groves for oil;olive groves;fruit trees;Sown Area;Original;hectares;yes;yes;116
Spain;3;OTROS CULTIVOS LEÑOSOS;Drop;;;fruit trees;Sown Area;Original;hectares;yes;yes;116
Spain;3;ALGARROBO;Keep and rename;carob;stone fruits;fruit trees;Sown Area;Original;hectares;yes;yes;116
Spain;3;ALCAPARRA;Keep and rename;caper;other fruits;fruit trees;Sown Area;Original;hectares;yes;yes;116
Spain;3;CAFETO;Keep and rename;coffee;other subtropical fruits;fruit trees;Sown Area;Original;hectares;yes;yes;116
Spain;3;CAÑA VULGAR;Drop;;;;Sown Area;Original;hectares;yes;yes;116
Spain;3;MIMBRERA;Keep and rename;osier;fiber crops;industrial crops;Sown Area;Original;hectares;yes;yes;116
Spain;3;AGAVE Y PITA;Keep and rename;agave;other industrial crops;industrial crops;Sown Area;Original;hectares;yes;yes;116
Spain;3;OTROS CULTIVOS LEÑOSOS;Drop;;;;Sown Area;Original;hectares;yes;yes;116
Spain;3;Cebada de 2 carreras;Drop;;;;Sown Area;Original;hectares;yes;yes;116
Spain;3;Cebada de 6 carreras;Drop;;;;Sown Area;Original;hectares;yes;yes;116
Spain;3;ARROZ - Indica;Drop;;;;Sown Area;Original;hectares;yes;yes;116
Spain;3;ARROZ - Japonica;Drop;;;;Sown Area;Original;hectares;yes;yes;116
Spain;3;MAÍZ - Maíz híbrido;Drop;;;;Sown Area;Original;hectares;yes;yes;116
Spain;3;MAÍZ - Otros maíces;Drop;;;;Sown Area;Original;hectares;yes;yes;116
Spain;3;TRANQUILLÓN;Drop;;;;Sown Area;Original;hectares;yes;yes;116
Spain;3;MIJO;Drop;;;;Sown Area;Original;hectares;yes;yes;116
Spain;3;ALFORFÓN;Drop;;;;Sown Area;Original;hectares;yes;yes;116
Spain;3;ALPISTE;Drop;;;;Sown Area;Original;hectares;yes;yes;116
Spain;3;ESCAÑA;Drop;;;;Sown Area;Original;hectares;yes;yes;116
Spain;3;OTRAS MEZCLAS DE CEREALES DE INVIERNO;Drop;;;;Sown Area;Original;hectares;yes;yes;116
Spain;3;OTROS CEREALES;Drop;;;;Sown Area;Original;hectares;yes;yes;116
Spain;3;TOTAL LEGUMINOSAS GRANO;Drop;;;;Sown Area;Original;hectares;yes;yes;116
Spain;3;VEZA;Drop;;;;Sown Area;Original;hectares;yes;yes;116
Spain;3;YEROS;Drop;;;;Sown Area;Original;hectares;yes;yes;116
Spain;3;ALTRAMUZ;Drop;;;;Sown Area;Original;hectares;yes;yes;116
Spain;3;ALMORTAS;Drop;;;;Sown Area;Original;hectares;yes;yes;116
Spain;3;ALGARROBAS;Drop;;;;Sown Area;Original;hectares;yes;yes;116
Spain;3;ALHOLVA;Drop;;;;Sown Area;Original;hectares;yes;yes;116
Spain;3;OTRAS LEGUMINOSAS GRANO;Drop;;;;Sown Area;Original;hectares;yes;yes;116
Spain;3;PATATA - Patata extratemprana;Drop;;;;Sown Area;Original;hectares;yes;yes;116
Spain;3;PATATA - Patata temprana;Drop;;;;Sown Area;Original;hectares;yes;yes;116
Spain;3;PATATA - Patata media estación;Drop;;;;Sown Area;Original;hectares;yes;yes;116
Spain;3;PATATA - Patata tardía;Drop;;;;Sown Area;Original;hectares;yes;yes;116
Spain;3;LINO TEXTIL;Keep and rename;fiber flax;fiber crops;industrial crops;Sown Area;Original;hectares;yes;yes;116
Spain;3;CÁÑAMO TEXTIL;Keep and rename;hemp;fiber crops;industrial crops;Sown Area;Original;hectares;yes;yes;116
Spain;3;CÁRTAMO;Drop;;;industrial crops;Sown Area;Original;hectares;yes;yes;116
Spain;3;AZAFRÁN (ESTIGMAS TOSTADOS);Drop;;;industrial crops;Sown Area;Original;hectares;yes;yes;116
Spain;3;ANÍS;Keep and rename;anise;other industrial crops;industrial crops;Sown Area;Original;hectares;yes;yes;116
Spain;3;MENTA (EN VERDE);Keep and rename;mint;other industrial crops;industrial crops;Sown Area;Original;hectares;yes;yes;116
Spain;3;COMINOS;Drop;;;industrial crops;Sown Area;Original;hectares;yes;yes;116
Spain;3;REGALIZ;Drop;;;industrial crops;Sown Area;Original;hectares;yes;yes;116
Spain;3;LAVANDA Y LAVANDÍN;Keep and rename;lavender;aromatic and medicinal herbs;industrial crops;Sown Area;Original;hectares;yes;yes;116
Spain;3;ACHICORIA (RAIZ EN VERDE);Drop;;;industrial crops;Sown Area;Original;hectares;yes;yes;116
Spain;3;OTROS CULTIVOS INDUSTRIALES;Drop;;;industrial crops;Sown Area;Original;hectares;yes;yes;116
